epoch,train_loss,val_loss,val_macro_f1
1,0.5709071500874384,0.5318136981114204,0.5551264780721449
2,0.42356229105561927,0.3509199999157011,0.8387635756056808
3,0.372997443904522,0.5538955261361413,0.6400213162803091
4,0.30040519833777934,0.3965984999824682,0.676083916083916
5,0.2797271703637721,0.23785686045113005,0.8899600891515058
6,0.21441060878091275,0.2444940017912672,0.8612508986340762
7,0.15561130317127883,0.31017456084026573,0.7931404072883173
8,0.18048287722520606,0.25662591433818477,0.8985492010092515
9,0.16622112983789758,1.0484779026996287,0.5221798269886115
10,0.11615007906387399,0.1589923243139692,0.8956705489213229
11,0.08401428001435828,0.1875147882829676,0.8360384529398615
12,0.0970401188074871,0.14750753429964417,0.9123833543505675
13,0.05949608205240726,0.17108454472756912,0.9039227399442453
14,0.051466514425717286,0.2015037303935215,0.8292639773531494
15,0.03134545127323926,0.5197612464891197,0.7137637909206005
16,0.06937675978818533,0.11152426196609677,0.9582251082251083
17,0.023194047303989235,0.08850445959794244,0.9391295206055509
18,0.0654567043414907,0.15259423380514964,0.9373376623376624
19,0.08104708593655831,0.1640785054154115,0.9299746021873219
20,0.010713286969073511,0.13280231030078826,0.9594196804037005
21,0.05578545199467158,0.3781378698484596,0.8603978300180832
22,0.029757652308711767,0.1566701572813055,0.9681955506728921
23,0.02819330139749834,0.1410839196325912,0.9318537200504413
24,0.020615636289057642,0.1435900884632195,0.9231381919553963
25,0.01466555624113156,0.1391770847671342,0.94079754601227
26,0.11357843516263258,0.1635961054674702,0.9039227399442453
27,0.012234372933040798,0.1135959655475933,0.9391295206055509
28,0.010765911041002755,0.26930423851554414,0.8603978300180832
29,0.006365673920125389,0.11718962787107053,0.9499818587052299
30,0.004731222723736399,0.10007450528927823,0.9691249400095985
31,0.05557944485852501,0.30852976066200305,0.8499977140767156
32,0.03338408481417491,0.178773412489395,0.9485415666826641
33,0.028658501007599996,0.09831747490010306,0.9318537200504413
34,0.014307573638357274,0.1831165403151798,0.8826088990782763
35,0.006308815899796204,0.06891602422400267,0.9582251082251083
36,0.016683919056948576,0.18418450576103645,0.8676450418323961
37,0.01328772138618499,0.11885494134000411,0.9318537200504413
38,0.010121121320795472,0.02878242121433201,0.989398516890964
39,0.003563772551631919,0.0700371096012004,0.94079754601227
40,0.0019900769881914856,0.054682945900619596,0.9582251082251083
