epoch,train_loss,val_loss,val_macro_f1
1,0.548820039062882,3.306185787205869,0.27459192439862545
2,0.3851230891477397,0.43636520477156565,0.8183016381095839
3,0.2898440492767121,0.3150194102000696,0.8985492010092515
4,0.25462875753182795,0.3550043109167425,0.6954383647106316
5,0.2093645691637147,0.12210139666968677,0.8876164596273293
6,0.17000154482576468,0.18981813878747467,0.923451753640433
7,0.1258310346147352,0.2052002674248552,0.8499977140767156
8,0.14879939855623975,0.6524231960427576,0.6179438058748403
9,0.1594810718124218,0.22432673431045033,0.825497287522604
10,0.06631665269628391,0.09440515135834718,0.9188393608074011
11,0.05614241889464097,0.15834747040113484,0.906347049689441
12,0.04676974901612395,0.08279325156062456,0.9485415666826641
13,0.029831541388691804,0.17216554405577866,0.954047619047619
14,0.050413414430974426,0.16553958648468314,0.9164502164502164
15,0.065319311809816,0.1166714936195646,0.9299746021873219
16,0.04565085658127574,0.06786908177234272,0.9499818587052299
17,0.042002723299262336,0.10849689535429904,0.9661106233538191
18,0.0492526489858401,0.5534328153692283,0.7237696796212705
19,0.03951283721665684,0.053910309474172136,0.9691249400095985
20,0.010535934682240898,0.05846990471002477,0.9691249400095985
21,0.011033078500192755,0.08651551478988746,0.9318537200504413
22,0.024519171324863,0.06718871388898033,0.9391295206055509
23,0.05271485867232747,0.0966209816538917,0.9318537200504413
24,0.03868243780281633,0.13549208224128564,0.8826088990782763
25,0.01632705252145524,0.08140355261245386,0.9691249400095985
26,0.03744494769272883,0.08066526358528545,0.9318537200504413
27,0.004164604033175575,0.061454664104210376,0.9582251082251083
