timestamp_utc,run_dir,model_type,git_commit,config_path,seed,batch_size,epochs_requested,epochs_ran,lr,best_metric,patience,shuffle_labels,range_bin_mode,range_band,stft_nperseg,stft_noverlap,seq_len,frame_reduce,hidden_size,num_layers,bidirectional,train_files,val_files,test_files,best_epoch,best_val_macro_f1,best_val_loss,early_stopped,metrics_csv,metrics_png
2026-03-27T17:26:03Z,runs/lstm_binary,lstm_binary,cd18895,configs/lstm_binary.yaml,42,16,40,19,0.001,val_macro_f1,8,False,band,"(28, 36)",128,96,16,mean,128,1,False,1398,193,163,11,0.937338,,True,runs/lstm_binary/metrics.csv,runs/lstm_binary/metrics.png
2026-04-22T22:16:12Z,runs/cnn_binary,cnn_binary,1a154a8,configs/cnn_binary.yaml,42,8,40,40,0.001,val_macro_f1,8,False,band,"(28, 36)",128,96,,,,,,1398,193,163,38,0.989399,,False,runs/cnn_binary/metrics.csv,runs/cnn_binary/metrics.png
